beta,lambda_reg,final_train_loss,final_eval_loss,final_energy_separation,final_grad_norm,max_grad_norm,min_grad_norm,convergence_rate,stability_score,gradient_explosion,gradient_vanishing
0.01,0.001,0.6861485135555268,0.6864223957061768,2.69035884141922,0.02564308039505607,0.026328507251337063,0.008545396634643486,0.0025718013985622156,0.9977245271522468,False,False
0.01,0.005,0.6918297255039215,0.6917584776878357,0.5582141265273094,0.011310532237345789,0.013312003869995434,0.007370352006746712,0.0005652447545053044,0.999644492693056,False,False
0.01,0.01,0.6924759936332703,0.6924937397241593,0.25222832933068273,0.007454408365521412,0.009629276020848267,0.006368804883752215,0.00022237950717684564,0.9998407281389846,False,False
0.01,0.02,0.6927931869029998,0.6928168952465057,0.13039904162287713,0.00482583326211046,0.010023943369895013,0.004553645589635921,0.00018189410073449048,0.9998729298005916,False,False
0.01,0.05,0.6930345749855041,0.6930204004049301,0.04838105887174606,0.0033987988855053402,0.01108765717210003,0.0028589525411440993,8.772953279063497e-05,0.9999203788124389,False,False
0.01,0.1,0.6931022560596466,0.6930932700634003,0.023402566742151975,0.0028242901786809525,0.020141533623199946,0.0027360786957250495,0.00012353590837385433,0.9998788643415474,False,False
0.01,0.2,0.6931466913223266,0.6931401014328002,0.00991260982118547,0.003203471761544408,0.058604954908005144,0.0030120866116239288,0.00027324329689004467,0.9996840835860852,False,False
0.01,0.5,0.6931798410415649,0.6931722164154053,0.004311005317140371,0.004526904576806764,0.12468409548884869,0.004526904576806764,0.0006882390841687479,0.9992232095436281,False,False
0.05,0.001,0.5722689199447631,0.575348874926567,8.920070147514343,0.2038955129845426,0.21969708507528518,0.04379560566438256,0.07486791447470165,0.9473388755941969,False,False
0.05,0.005,0.6656217813491822,0.6609457582235336,2.37769730091095,0.1374218591614707,0.1374218591614707,0.041714317279395924,0.014487190178085986,0.9891531426359083,False,False
0.05,0.01,0.6763264632225037,0.6762803375720978,1.3377333462238312,0.0799636052406783,0.08977838016642412,0.044356316871012845,0.006750899137202501,0.9948400664140769,False,False
0.05,0.02,0.685092658996582,0.6844641625881195,0.681207126379013,0.05648820954473035,0.06770880174005516,0.04123664470569925,0.002978956194840241,0.9978005479505587,False,False
0.05,0.05,0.6900188195705413,0.6896451830863952,0.2782215364277363,0.03192338937911112,0.042943215166997055,0.029949589067185842,0.0012220082424411883,0.999116133447033,False,False
0.05,0.1,0.6914715039730072,0.6914870917797089,0.12735505662858487,0.022728284541908738,0.046358704889867555,0.022535652529154505,0.0005928643524319033,0.9995182868770527,False,False
