epoch,misranked_ratio,boundary_ratio,avg_margin
1,0.4672631546854973,0.43074240535497665,0.007371366460574791
2,0.3872705474495888,0.35425012558698654,0.02949013188481331
3,0.4211690053343773,0.2780056521296501,0.02478496916592121
4,0.38772978633642197,0.23355554416775703,0.04685796145349741
5,0.3605078011751175,0.1900794394314289,0.07087281439453363
6,0.3732287362217903,0.15734606608748436,0.07285652495920658
7,0.37304288893938065,0.13032452575862408,0.0893932580947876
8,0.34798265993595123,0.11009706929326057,0.12651667930185795
9,0.35879214853048325,0.09574595652520657,0.13375195860862732
10,0.34329623728990555,0.08596110343933105,0.16533469036221504
11,0.34073349833488464,0.07886699959635735,0.17993322014808655
12,0.3584193140268326,0.07334480248391628,0.18213484063744545
13,0.35023481398820877,0.06950937956571579,0.19905207678675652
14,0.34134573489427567,0.06372408010065556,0.2275378592312336
15,0.33677415549755096,0.05922122113406658,0.2573309987783432
16,0.34260379523038864,0.05725759267807007,0.251537311822176
17,0.329350546002388,0.054708775132894516,0.2901836112141609
18,0.32910487055778503,0.053444065153598785,0.2970474883913994
19,0.3094984069466591,0.05085024982690811,0.3433823883533478
20,0.3295370489358902,0.05160503834486008,0.31038179248571396
1,0.41610863095238093,0.24162946428571427,0.03773146090541212
2,0.33796812996031744,0.09013826884920635,0.17109550157236675
3,0.34345548115079366,0.06310453869047619,0.21594781144743874
4,0.30843874007936506,0.04943266369047619,0.341382508358312
5,0.29809957837301587,0.03817894345238095,0.47969183325767517
6,0.2750031001984127,0.037760416666666664,0.5126409684381787
7,0.253937251984127,0.03447420634920635,0.6290663201657553
8,0.2607576884920635,0.029916914682539684,0.6683527319322503
9,0.2555028521825397,0.030552455357142856,0.6821557250287797
10,0.23018973214285715,0.02785528273809524,0.7979586058192782
11,0.2065972222222222,0.025638640873015872,0.9094898643947783
12,0.1937934027777778,0.024011036706349208,0.9784111759019276
13,0.18990265376984128,0.0228484623015873,1.001166438299512
14,0.19794766865079366,0.021422371031746032,1.0356308817863464
15,0.1988467261904762,0.022863963293650792,1.0246893016118852
16,0.17423115079365079,0.020476810515873016,1.1226255695025127
17,0.1642795138888889,0.019562251984126984,1.2097078457711234
18,0.14423673115079366,0.017314608134920636,1.2886778135148307
19,0.1285187251984127,0.015733506944444444,1.4769739574856229
20,0.12284536210317461,0.014772445436507936,1.4807145065731473
21,0.12565104166666666,0.015004960317460318,1.5081860205483815
22,0.1209077380952381,0.014555431547619048,1.5483973953458998
23,0.12121775793650794,0.01396639384920635,1.5750186045964558
24,0.11573040674603174,0.015268477182539682,1.5294287147976102
25,0.10973152281746032,0.013609871031746032,1.602526999655224
26,0.09630766369047619,0.012121775793650794,1.715751328165569
27,0.09601314484126984,0.011827256944444444,1.786305452150012
28,0.08148871527777778,0.01111421130952381,1.8364272817732796
29,0.07429625496031746,0.00961061507936508,1.8839243820735387
30,0.07294766865079365,0.009719122023809524,1.9625163381061856
31,0.06310453869047619,0.007998511904761904,2.04529631327069
32,0.05385044642857143,0.007750496031746032,2.173521851736402
33,0.05540054563492063,0.007393973214285714,2.1483688070660545
34,0.04341827876984127,0.00638640873015873,2.2901196517641584
35,0.04379030257936508,0.00646391369047619,2.31849265477014
36,0.03839595734126984,0.005704365079365079,2.368385708521283
37,0.035807291666666664,0.005270337301587302,2.3892609126984126
38,0.038519965277777776,0.005750868055555556,2.41362488459027
39,0.024848090277777776,0.0037977430555555555,2.545324505321563
40,0.031591021825396824,0.004324776785714286,2.552541390297905
41,0.026196676587301588,0.003720238095238095,2.5721557480948314
42,0.017438616071428572,0.0027901785714285715,2.7428009434351845
43,0.021964905753968252,0.003131200396825397,2.701619587247334
44,0.02425905257936508,0.003642733134920635,2.7315748078482494
45,0.014958457341269842,0.002464657738095238,2.839722451709566
46,0.01922123015873016,0.0030691964285714285,2.811340184438796
47,0.017159598214285716,0.0026041666666666665,2.8285371348971413
48,0.01285032242063492,0.002247643849206349,2.894913991292318
49,0.017392113095238096,0.002945188492063492,2.8812947689540804
